,medio,fecha,titulo
0,Clarin,2019-09-21 00:00:00,Boca se impuso por 2-0 ante San Lorenzo en el Nuevo Gasómetro
1,Clarin,2019-09-21 00:00:00,Mundial de Rugby: las fotos del partido entre Nueva Zelanda y Sudáfrica
2,Clarin,2019-09-21 00:00:00,"En fotos: así arrancó el Oktoberfest, el festival de cerveza más importante"
3,Clarin,2019-09-21 00:00:00,Trasladan momias al Museo Nacional de la Civilización Egipcia que albergará más de 100.000 piezas
4,Clarin,2019-09-21 00:00:00,Así se festejo “El Día de la Primavera” en Palermo
5,Clarin,2019-09-21 00:00:00,"En el marco de la Semana “Viví Francia“, el Palacio Ortiz Basualdo abrió sus puertas"
6,InfoBAE,2019-09-21 00:00:00,"Celos, traición y grandes villanos en “Succession”, una fascinante radiografía del corazón de los millonarios"
7,InfoBAE,2019-09-21 00:00:00,20 fotos de la comida anual a beneficio de “Haciendo Camino”
8,La Nación,2019-09-21 00:00:00,"BMW, Fiat, Toyota y DS: cuatro lanzamientos fuertes"
9,La Nación,2019-09-21 00:00:00,"Darío Barassi. ""Saber manejar da libertad, seguridad y resulta muy práctico"""
10,La Nación,2019-09-21 00:00:00,Scania y el trabajo pesado off-road
11,La Nación,2019-09-21 00:00:00,TC 2000: pasión y alta tecnología
12,La Nación,2019-09-21 00:00:00,"Test drive: Chevrolet Onix Plus 2020, una renovación excepcional"
13,La Nación,2019-09-21 00:00:00,"Aldo Sessa: ""La cámara del celular es la revolución de la mirada"""
14,La Nación,2019-09-21 00:00:00,El dólar sigue aplacado por ventas oficiales
15,La Nación,2019-09-21 00:00:00,Pensá en verde: cómo dolarizarse desde el celular
16,La Nación,2019-09-21 00:00:00,Las tendencias en decoración y diseño que deja Casa FOA
17,La Nación,2019-09-21 00:00:00,Los inmobiliarios no esperan una reactivación de las ventas
18,La Nación,2019-09-21 00:00:00,Los negocios que surgen en plena crisis
19,La Nación,2019-09-21 00:00:00,"Mario Gómez: ""Hay muchos inmuebles usados fuera de precio"""
20,Perfil,2019-09-21 00:00:00,Los cazaperejiles y el “Protocolo PRO”
21,Perfil,2019-09-21 00:00:00,El IPCVA posiciona la carne vacuna en China
22,Ambito Financiero,2019-09-21 00:00:00,"Censo 2020, segunda prueba piloto y la innecesaria pregunta por el DNI"
23,La Izquierda Diario,2019-09-21 00:00:00,Barrio Aeroclub: la Izquierda propone urbanización y adjudicación de terrenos
24,La Izquierda Diario,2019-09-21 00:00:00,Elecciones municipales: el #FITUnidad busca fortalecer la izquierda en la ciudad de Neuquén
25,La Izquierda Diario,2019-09-21 00:00:00,Elecciones municipales Neuquén: consultá donde votás
26,La Izquierda Diario,2019-09-21 00:00:00,Cuando la CONADEP dijo Nunca Más
27,La Izquierda Diario,2019-09-21 00:00:00,Los Pumas no pudieron ante Francia: ¡qué cerca que estuvo!
28,La Izquierda Diario,2019-09-21 00:00:00,¿Son los salarios la causa de la actual crisis financiera en Chubut?
29,La Izquierda Diario,2019-09-21 00:00:00,Tres hipótesis y un papelón envuelven la causa del tiroteo al exjefe de la Policía Federal de Santa Fe
30,La Izquierda Diario,2019-09-21 00:00:00,[VIDEO] ¡Basta de precarizarnos la vida!
31,La Izquierda Diario,2019-09-21 00:00:00,[Videos] Mirá todos los spots del Frente de Izquierda Unidad en Mendoza
32,La Nación,2019-09-21 00:37:00,Vuelve Gears of War: una de las sagas más esperadas del año
33,Página 12,2019-09-21 10:00:29,TOP 5 DESTINOS CANNÁBICOS
34,Página 12,2019-09-21 10:20:31,Señorita Bimbo · PENSAR EN GRANDE
35,Prensa Obrera,2019-09-21 15:03:21,[Editorial] The coming battles
36,La Nación,2019-09-21 17:17:00,Día Mundial de la Limpieza: casi 20.000 argentinos se sumaron a limpiar el mundo
37,La Nación,2019-09-21 17:51:00,"Frankenstein es cordobés, vive en Parque Patricios y esta tarde bailará con Britney"
38,Prensa Obrera,2019-09-21 19:08:58,Movilización por el desprocesamiento de los choferes de la Línea 60
39,Prensa Obrera,2019-09-21 19:15:01,Solidaridad de la Juventud del DIP (Turquía) con Belliboni y Kuperman
40,Prensa Obrera,2019-09-21 19:18:52,Haití en llamas
41,Prensa Obrera,2019-09-21 20:14:57,Chubut: la lucha en una nueva etapa
42,Prensa Obrera,2019-09-21 20:44:23,“La quiebra del país reclama una intervención decidida de los trabajadores”
43,Prensa Obrera,2019-09-21 22:26:32,La lucha contra la precarización laboral y por la separación de la Iglesia y el Estado en Tucumán
44,Clarin,2019-09-22 00:00:00,Pelo 2020: los cortes y colores para esta primavera-verano
45,Clarin,2019-09-22 00:00:00,El porno en la pareja: ¿facilita el encuentro o nos distancia?
46,Clarin,2019-09-22 00:00:00,La magia de las estatuas vivientes en Buenos Aires
47,Clarin,2019-09-22 00:00:00,El monje afónico que derivó en los nombres de las notas musicales
48,Clarin,2019-09-22 00:00:00,Las imágenes de todas las estrellas ganadoras en los Premios Emmy 2019
49,Clarin,2019-09-22 00:00:00,Seal: “Yo vivo para interpretar grandes canciones”
50,Clarin,2019-09-22 00:00:00,Instinto: un thriller atravesado por el sexo con máscara y los fantasmas sin capucha
51,Clarin,2019-09-22 00:00:00,La colorida fiesta del Orgullo LGBT con consignas de amor e igualdad de derechos
52,Clarin,2019-09-22 00:00:00,Las mejores fotos de la semana
53,Clarin,2019-09-22 00:00:00,A 80 años de su muerte: ¿por qué Freud nos rompió la cabeza?
54,Clarin,2019-09-22 00:00:00,"Blanca Luz Brum, ¿la inventora del Braden o Perón?"
55,Clarin,2019-09-22 00:00:00,"Luciana Peker, la feminista que lucha por el goce de las mujeres"
56,Página 12,2019-09-22 00:00:00,El impresionismo litoraleño de Carlos Aguirre
57,Página 12,2019-09-22 00:00:00,"""Mi año de descanso y relajación"": la novela crítica y provocativa de Otessa Moshfegh  | Dormir un año y despertar en un mundo devastado"
58,Página 12,2019-09-22 00:00:00,"Top Boy, la respuesta británica a The Wire"
59,Página 12,2019-09-22 00:00:00,"Llega ""Guasón"" de Todd Phillips con Joaquin Phoenix, más cerca del estudio psicológico que del comic | Se estrena en Argentina después de haber obtenido el León de Oro en el Festival de Venecia"
60,Página 12,2019-09-22 00:00:00,Los cuentos desbocados de Fernanda García Lao
61,Página 12,2019-09-22 00:00:00,El mito del país normal | La concepción conservadora desconoce las peculiaridades económicas de países periféricos como Argentina
62,InfoBAE,2019-09-22 00:00:00,"Cachi, el pueblo salteño que se convirtió en el paraíso de los corredores"
63,La Nación,2019-09-22 00:00:00,Pink Freud y la discoteca del inconsciente
64,La Nación,2019-09-22 00:00:00,Convención de monstruos y fieras literarias en el Mediterráneo
65,La Nación,2019-09-22 00:00:00,Tipo de cambio: por qué nos preocupa el dólar y qué efectos tienen los controles
66,La Nación,2019-09-22 00:00:00,Cómo invertir los ahorros y escaparle al riesgo argentino
67,La Nación,2019-09-22 00:00:00,Qué implicaría una dolarización en la Argentina
68,La Nación,2019-09-22 00:00:00,"Alcalá de Henares, la ciudad ilustre donde nació Miguel de Cervantes"
69,La Nación,2019-09-22 00:00:00,Cómo esquiar en 41 montañas con un único pase
70,La Nación,2019-09-22 00:00:00,"Cómo son las termas de General Belgrano, las más cercanas a Capital"
71,La Nación,2019-09-22 00:00:00,Volver al futuro: un viaje por Alemania en el centenario de la Bauhaus
72,La Nación,2019-09-22 00:00:00,"Julio Le Parc: ""Las raíces son fundamentales. Cuando me fui de Buenos Aires ya estaba formado"""
73,Perfil,2019-09-22 00:00:00,Rehenes de una seguridad irresponsable
74,Perfil,2019-09-22 00:00:00,Estiman un trimestre con clima neutro
75,La Izquierda Diario,2019-09-22 00:00:00,Brutalidad de la Policía de Urtubey en el recital de Sara Hebe en Salta
76,La Izquierda Diario,2019-09-22 00:00:00,Chubut: mejor no hablar de ciertas cosas
