,medio,fecha,titulo
23,la izquierda diario,2019-09-21 00:00:00,Barrio Aeroclub: la Izquierda propone urbanización y adjudicación de terrenos
24,la izquierda diario,2019-09-21 00:00:00,Elecciones municipales: el #FITUnidad busca fortalecer la izquierda en la ciudad de Neuquén
31,la izquierda diario,2019-09-21 00:00:00,[Videos] Mirá todos los spots del Frente de Izquierda Unidad en Mendoza
65,la nación,2019-09-22 00:00:00,Tipo de cambio: por qué nos preocupa el dólar y qué efectos tienen los controles
75,la izquierda diario,2019-09-22 00:00:00,Brutalidad de la Policía de Urtubey en el recital de Sara Hebe en Salta
77,la izquierda diario,2019-09-22 00:00:00,Cristina Fernández presentó su libro en La Matanza
78,la izquierda diario,2019-09-22 00:00:00,El FIT Unidad amplió sus bancas en el Concejo Deliberante en Neuquén
82,la izquierda diario,2019-09-22 00:00:00,Julieta Katcoff: “Queremos fortalecer una alternativa de izquierda en la ciudad”
84,la izquierda diario,2019-09-22 00:00:00,Reperfilamiento: ministro de Urtubey confirma que se usaron fondos públicos de la provincia
90,prensa obrera,2019-09-22 18:58:46,Alberto Fernández ataca a los porteños
251,perfil,2019-09-23 00:00:00,Una neoyorquina captura con su cámara las tierras arrasadas por el cambio climático
261,la izquierda diario,2019-09-23 00:00:00,Del Caño: “Es gravísimo que a Damián Raña lo tengan preso por usar cannabis medicinal”
263,la izquierda diario,2019-09-23 00:00:00,Diputados del Frente de Izquierda de Argentina reclaman liberación de independentistas catalanes
270,la izquierda diario,2019-09-23 00:00:00,"Macarena Escudero: “necesitamos legisladores de izquierda para defender el salario, las jubilaciones, la salud y la educación pública”"
271,la izquierda diario,2019-09-23 00:00:00,"Marcha a Plaza de Mayo del sindicalismo combativo, movimientos de desocupados y la izquierda"
278,la izquierda diario,2019-09-23 00:00:00,[VIDEO] El FIT Unidad suma otra banca al Concejo Deliberante neuquino
285,prensa obrera,2019-09-23 12:01:42,El FIT se refuerza en Neuquén
293,prensa obrera,2019-09-23 13:43:34,Salieron los spots del Frente de Izquierda – Unidad 
306,prensa obrera,2019-09-23 18:10:30,Sobre el programa que presentó Ctera a Alberto Fernández
310,prensa obrera,2019-09-23 19:36:18,Cristina Kirchner y la fórmula de la Coca Cola
367,la izquierda diario,2019-09-24 00:00:00,La izquierda se prepara para un acto histórico en la 9 de Julio
370,la izquierda diario,2019-09-24 00:00:00,Macri presentó el proyecto de nuevo Código Procesal Civil
375,la izquierda diario,2019-09-24 00:00:00,¿Por qué al economista de Alberto Fernández le preocupa lo que dice La Izquierda Diario?
379,la izquierda diario,2019-09-24 00:00:00,Vecinos del Aeroclub debatieron el proyecto de la Izquierda
389,prensa obrera,2019-09-24 13:13:54,La CUP de Cataluña expresa su apoyo al FIT Unidad
393,prensa obrera,2019-09-24 13:58:21,La campaña en Salta: Los candidatos del Frente de Izquierda o los responsables de la pobreza y la tercerización
432,clarin,2019-09-25 00:00:00,Toda la intimidad de la presentación del documental sobre Luis Alberto Spinetta
451,cronista,2019-09-25 00:00:00,Duro cruce entre Patricia Bullrich y Alberto Fernández que se viralizó en redes
469,la izquierda diario,2019-09-25 00:00:00,[Video] Acto del Frente de Izquierda Unidad: el 5 de octubre copamos la 9 de julio
470,la izquierda diario,2019-09-25 00:00:00,Alberto Fernández insiste: “Que la gente no salga a la calle porque puede haber un muerto”
485,la izquierda diario,2019-09-25 00:00:00,"Marcha en Córdoba del sindicalismo combativo, movimientos de desocupados y la izquierda"
488,la izquierda diario,2019-09-25 00:00:00,Mi foto con un ajustador: Alberto Fernández pasó por Mendoza y posó junto a Mariano Arcioni
503,la izquierda diario,2019-09-25 00:00:00,[Video] Docentes de Chubut homenajean a Jorgelina y María Cristina
510,la nación,2019-09-25 11:38:00,Cómo funcionará el Metrobus de Florencio Varela que inauguraron Mauricio Macri y María Eugenia Vidal
577,clarin,2019-09-26 00:00:00,"Alberto Fernández, conforme por la “demora” del FMI para mandar los 5.400 millones de dólares"
591,página 12,2019-09-26 00:00:00,Caruso: “¿Que tiene para decir Macri en el debate que no haya dicho?”
635,cronista,2019-09-26 00:00:00,"Alberto Fernández propone un reperfilamiento de la deuda a la uruguaya: ""No creo que haya dificultades"""
637,cronista,2019-09-26 00:00:00,"Cornejo votó y criticó el ""aparataje fenomenal"" del peronismo en Mendoza"
639,cronista,2019-09-26 00:00:00,"Deuda: ¿es aplicable a la Argentina la ""salida a la uruguaya"" que quiere Alberto?"
641,cronista,2019-09-26 00:00:00,"Loser: ""Es posible una buena relación entre el FMI y Alberto Fernández"""
642,cronista,2019-09-26 00:00:00,Macri pone en marcha medidas para Pymes y monotributistas
650,cronista,2019-09-26 00:00:00,"Macri le besó los pies a la ""Cenicienta Manuela"" y estallaron las redes: qué pasó y qué dijo"
673,la izquierda diario,2019-09-26 00:00:00,Bahía Blanca se suma a la movilización mundial contra el cambio climático
679,la izquierda diario,2019-09-26 00:00:00,"Declaraciones juradas: cuentas afuera y candidatos millonarios, a excepción de Del Caño"
687,la izquierda diario,2019-09-26 00:00:00,Hablemos de precarización: Macri pidió que en la campaña se discuta “el trabajo del futuro”
690,la izquierda diario,2019-09-26 00:00:00,"Junto a Nicolás del Caño y Romina del Plá, el FIT U cerró su campaña en Mendoza"
695,la izquierda diario,2019-09-26 00:00:00,Marco Lavagna: votó en contra del aborto y disputa una banca con Myriam Bregman
704,la izquierda diario,2019-09-26 00:00:00,Otro revés para Macri: el FMI dijo que los US$ 5.400 millones “deberán esperar”
705,la izquierda diario,2019-09-26 00:00:00,Que no negocien nuestro futuro: ¿por qué ir al acto del Frente de Izquierda Unidad?
706,la izquierda diario,2019-09-26 00:00:00,“Reconformación”: el plan de Alberto Fernández para pagar y ajustar
